lang,lang_sister,cherry,n_loans,p_loans,glottocode,area,glottocode_1,glottocode_2,median_distance,mean_distance,mean_distance_water,median_distance_water,area_sister,median_distance_sister,median_distance_water_sister,n_loans_sister,p_loans_sister,area_ratio
MuliarraTribe,Wajarri,5,4,3.84615384615385,waja1257,420015,waja1257,waja1257,1,0,20710.202,14475.074,420015,1,14475.074,3,0.859598853868195,0
Narrungga,Nukunu,2,1,0.377358490566038,naru1238,15137,naru1238,nugu1241,151.338,156.521,13952.008,12249.531,18085,131.981,16461.533,5,2.3696682464455,-0.177940787623633
NewNorciaandLeschenaultBay,Watjuk,8,0,0,nyun1247,45152,nyun1247,nyun1247,928.719,932.314,17514.644,5756.116,23977,775.37,6417.233,0,0,0.63293953815077
Ngamini,Yarluyandi,30,4,1.06666666666667,ngam1265,39396,ngam1265,yarl1238,97.694,96.483,8140.326,4557.498,25614,59.701,2079.203,2,0.873362445414847,0.430525211303576
Ngarla,Nyamal,15,1,0.33003300330033,ngar1296,42028,ngar1296,nyam1271,59.418,64.95,11812.961,8243.694,237912,253.681,16413.902,5,1.39275766016713,-1.73356479457218
Ngarluma,Kariyarra,12,5,1.27877237851662,ngar1287,68813,ngar1287,kari1304,139.346,140.274,9101.971,5233.382,89950,135.347,14745.833,0,0,-0.267861279818334
Ngarrindjeri,Balkurra,88,0,0,narr1259,7795,narr1259,yara1254,36.438,38.853,7016.625,4544.532,12730,59.887,5568.124,0,0,-0.490478910059575
Ngiyambaa,Wiradjuri,77,1,0.294117647058824,wang1291,112944,wang1291,wira1262,97.548,105.919,19754.016,15240.488,211459,160.521,5519.815,2,0.520833333333333,-0.627139005613316
Ngunawal,Gundungurra,74,0,0,nort2760,15255,nort2760,nort2760,1,7.887,2549.733,1721.097,41598,61.557,1149.423,2,0.687285223367698,-1.00314477101978
Nhanta,ChampionBay,6,2,0.625,nhan1238,48319,nhan1238,nhan1238,1,0,16301.697,13150.025,48319,1,13150.025,0,0,0
NorthernMangarla,MangalaMcK,22,9,3.6,mang1383,88199,mang1383,mang1383,1,0,1e+05,1e+05,88199,1,1e+05,25,12.8205128205128,0
NorthernNyangumarta,Nyangumarta,21,11,3.19767441860465,nyan1301,348045,nyan1301,nyan1301,1,0,84214.284,71424.583,348045,1,71424.583,19,5.26315789473684,0
Nukunu,Narrungga,2,5,2.3696682464455,nugu1241,18085,nugu1241,naru1238,131.981,130.892,19123.849,16461.533,15137,151.338,12249.531,1,0.377358490566038,0.177940787623633
Nyamal,Ngarla,15,5,1.39275766016713,nyam1271,237912,nyam1271,ngar1296,253.681,246.931,19828.845,16413.902,42028,59.418,8243.694,1,0.33003300330033,1.73356479457218
Nyangumarta,NorthernNyangumarta,21,19,5.26315789473684,nyan1301,348045,nyan1301,nyan1301,1,0,84214.284,71424.583,348045,1,71424.583,11,3.19767441860465,0
Nyawaygi,Wargamay,59,0,0,nyaw1247,5606,nyaw1247,warr1255,30.917,30.632,14288.439,11531.66,5192,30.581,1917.591,1,0.332225913621262,0.0767184733408077
Olkola,UwOykangand,38,0,0,oyka1239,9347,oyka1239,oyka1239,112.379,113.151,2839.852,1514.792,11257,93.845,1348.172,0,0,-0.185934721172221
Paakantyi,Kurnu,34,6,1.56657963446475,darl1243,59653,darl1243,darl1243,222.466,216.912,15248.668,10542.369,89919,264.058,9774.837,1,0.386100386100386,-0.410364824429807
Panyjima,Yinhawangka,14,0,0,pany1241,91747,pany1241,pany1241,129.358,128.13,32367.345,27706.923,47824,93.139,77264.13,2,0.60790273556231,0.651507183310837
Parnkala,Adnyamathanha,1,4,1.09289617486339,bang1339,137712,bang1339,adny1235,340.155,328.688,34379.935,34119.648,31690,194.419,40058.339,5,1.3550135501355,1.46916337420429
Pinjarra,Bibbulman,7,0,0,nyun1247,45152,nyun1247,bibb1234,850.886,860.282,17514.644,5756.116,24887,754.924,4257.248,0,0,0.595688996888734
Pirriya,Kungkari,33,4,2.40963855421687,pirr1240,45632,pirr1240,kuun1236,89.953,98.103,9604.262,7646.761,54577,99.862,11158.812,2,1.01010101010101,-0.179003323789007
PittaPitta,Wangkayutyuru,26,3,0.928792569659443,pitt1247,89969,pitt1247,wang1289,116.966,118.444,20205.811,14370.831,139298,144.959,18557.286,7,2.31023102310231,-0.437150356629688
Purduna,Thalanyji,11,0,0,burd1238,68444,burd1238,dhal1245,90.443,91.924,74906.77,67198.4,89596,107.007,52271.452,2,0.584795321637427,-0.269294783457496
SteeleGDG,Katthang,70,0,0,wori1245,5297,wori1245,wori1245,20.928,22.912,2161.325,1186.693,13710,44.046,920.661,0,0,-0.950984871011833
Tambo,Dharawala,54,1,1.0752688172043,bidy1243,33114,bidy1243,bidy1243,150.71,147.974,23994.429,21815.623,35590,167.095,13167.57,0,0,-0.072108545836682
Thalanyji,Purduna,11,2,0.584795321637427,dhal1245,89596,dhal1245,burd1238,107.007,115.637,44678.25,52271.452,68444,90.443,67198.4,0,0,0.269294783457496
Thaynakwith,Mbakwithi,41,0,0,alng1239,579,alng1239,angu1242,104.11,103.74,803.657,589.486,3289,155.035,1801.522,1,0.469483568075117,-1.73703636861606
TweedRiverandPointDangar,Minjungbal,79,0,0,yuga1244,8168,yuga1244,minj1242,236.182,235.223,2448.77,1362.71,13053,242.75,1127.982,1,0.476190476190476,-0.468793911544288
Umpila,KuukuYau,45,3,0.917431192660551,umpi1239,6387,umpi1239,kuuk1238,79.847,80.761,13304.927,14695.174,12452,107.199,6260.427,0,0,-0.66761657799991
UpperBrisbaneRiver,Duungidjawu,85,0,0,waka1274,43541,waka1274,duun1241,157.931,148.523,11459.508,7081.625,2332,9.603,1307.332,1,0.335570469798658,2.92697675444072
UwOykangand,Olkola,38,0,0,oyka1239,11257,oyka1239,oyka1239,93.845,95.282,2579.364,1348.172,9347,112.379,1514.792,0,0,0.185934721172221
Wadikali,Yardliyawarra,35,1,1.72413793103448,yarl1236,33368,yarl1236,yarl1236,227.417,224.077,7729.42,3004.969,39650,308.567,34710.667,2,2.94117647058824,-0.172493591186213
Wadjabangayi,Yiningay,55,0,0,bidy1243,22670,bidy1243,bidy1243,109.222,105.213,36224.2,21443.065,81354,202.977,8873.948,1,0.900900900900901,-1.27776753818879
Wajarri,MuliarraTribe,5,3,0.859598853868195,waja1257,420015,waja1257,waja1257,1,0,20710.202,14475.074,420015,1,14475.074,4,3.84615384615385,0
WakaWaka,DawsonRiver,84,0,0,waka1274,43541,waka1274,waka1274,1,0,11459.508,7081.625,43541,1,7081.625,0,0,0
Wakaya,Yindjilandji,99,1,0.289855072463768,waga1260,125791,waga1260,yind1248,169.011,167.047,30459.897,14755.431,30855,84,15769.978,0,0,1.40532298780368
Walangama,Ikarranggal,37,0,0,wala1263,9591,wala1263,gurd1238,470.777,472.383,7903.407,7883.676,9734,465.188,10327.065,0,0,-0.0147997526654484
WalmajarriNW,Jiwarliny,19,7,5.93220338983051,walm1241,241934,walm1241,walm1241,248.23,263.034,118476.17,93806.459,160101,129.752,192226.433,0,0,0.412860095607761
Wanamara,MayiThakurti,64,0,0,wunu1234,40922,wunu1234,mayk1239,55.624,56.808,18038.232,14928.503,42720,61.362,2966.991,0,0,-0.042999378907572
Wangkangurru,Arabana,25,11,3.47003154574133,wang1290,229028,wang1290,arab1267,288.4,300.478,137202.323,110691.092,109279,197.238,18416.11,11,2.9023746701847,0.7399400218468
Wangkayutyuru,PittaPitta,26,7,2.31023102310231,wang1289,139298,wang1289,pitt1247,144.959,144.452,37545.241,18557.286,89969,116.966,14370.831,3,0.928792569659443,0.437150356629688
Wangkumara,WangkumaraMcDWur,32,1,0.277777777777778,wong1246,85374,wong1246,wong1246,1,0,11745.565,7032.976,85374,1,7032.976,1,0.892857142857143,0
WangkumaraMcDWur,Wangkumara,32,1,0.892857142857143,wong1246,85374,wong1246,wong1246,1,0,11745.565,7032.976,85374,1,7032.976,1,0.277777777777778,0
Wargamay,Nyawaygi,59,1,0.332225913621262,warr1255,5192,warr1255,nyaw1247,30.581,29.224,3198.239,1917.591,5606,30.917,11531.66,0,0,-0.0767184733408077
Warlmanpa,Warlpiri,18,3,1.00334448160535,warl1255,112634,warl1255,warl1254,175.201,178.574,56478.573,48829.018,537513,392.577,53142.843,2,0.533333333333333,-1.56280932181031
