name,fid,tessellate,extrude,visibility,layer,path,description,family,dialect,auxiliary_storage_labeling_show
Luthigh,96,1,0,-1,Northern (#5),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Northern (#5),,,,
Duungidjawu,97,1,0,-1,Waka-Kabi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Waka-Kabi,,,,
WakaWaka,98,1,0,-1,Waka-Kabi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Waka-Kabi,,,,
Guweng,99,1,0,-1,Waka-Kabi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Waka-Kabi,,,,
Batyala,100,1,0,-1,Waka-Kabi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Waka-Kabi,,,,
GoorengGooreng,101,1,0,-1,Waka-Kabi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Waka-Kabi,,,,
Gubbi Gubbi,102,1,0,-1,Waka-Kabi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Waka-Kabi,,,,
Yangman,103,1,0,-1,Wardaman,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Wardaman,,NonPNy,,
Wardaman,104,1,0,-1,Wardaman,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Wardaman,,NonPNy,,
Warluwarra,105,1,0,-1,Warluwarric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Warluwarric,,,,
Dagoman,106,1,0,-1,Wardaman,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Wardaman,,NonPNy,y,
Bularnu,107,1,0,-1,Warluwarric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Warluwarric,,,,
Yanyuwa,108,1,0,-1,Warluwarric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Warluwarric,,,,
Yindjilandji,109,1,0,-1,Warluwarric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Warluwarric,,,,
Wakaya,110,1,0,-1,Warluwarric,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Warluwarric,,,,
Warumungu,111,1,0,-1,Warumungic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Western,,,,
Wirangu,113,1,0,-1,Thura-Yura,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Thura-Yura,,,,
Guyani,114,1,0,-1,Thura-Yura,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Thura-Yura,,,,
Guwar,115,1,0,-1,Turubulic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Turubulic,,,,
Nunukal,116,1,0,-1,Turubulic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Turubulic,"Related to yagara, given by Tindale as the name of the Northern group of Stradbroke Island. (changed from Nukunul to Nunukal per Bill Pascoe)",,,
Yagara,117,1,0,-1,Turubulic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Turubulic,,,,
Turrbul,119,1,0,-1,Turubulic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Turubulic,,,,
Janday,120,1,0,-1,Turubulic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Turubulic,"Djindewal, Jandai",,,
Umbugarla,121,1,0,-1,Umbugarlan,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Umbugarlan,,NonPNy,,
Ngaduk,122,1,0,-1,Umbugarlan,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Umbugarlan,"In Birch's 2006 map, Ngaduk is also shown on the Western side of the river, north of Gonbudj.",NonPNy,,
Ngomburr,123,1,0,-1,Umbugarlan,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Umbugarlan,,NonPNy,,
Bukurnidja,124,1,0,-1,Umbugarlan,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Umbugarlan,,NonPNy,,
Wuli Wuli,125,1,0,-1,Waka-Kabi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Waka-Kabi,,,,
Gonbudj,126,1,0,-1,Umbugarlan,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Umbugarlan,,NonPNy,,
Bayali,127,1,0,-1,Waka-Kabi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Waka-Kabi,,,,
Barunggam,128,1,0,-1,Waka-Kabi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Waka-Kabi,,,,
Pinjarup,129,1,0,-1,Southwestern,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southwestern,,,y,
Wiilman,130,1,0,-1,Southwestern,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southwestern,,,y,
Wardandi,131,1,0,-1,Southwestern,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southwestern,,,,
Bibbulman,132,1,0,-1,Southwestern,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southwestern,,,y,
Lardil,133,1,0,-1,Tangkic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Tangkic,,NonPNy,,
Kaniyang,134,1,0,-1,Southwestern,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southwestern,,,y,
Kayardild,135,1,0,-1,Tangkic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Tangkic,,NonPNy,,
Yukulta,136,1,0,-1,Tangkic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Tangkic,,NonPNy,,
Ngadjuri,137,1,0,-1,Thura-Yura,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Thura-Yura,,,,
Minkin,138,1,0,-1,Tangkic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Tangkic,,NonPNy,,
Parnkala,139,1,0,-1,Thura-Yura,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Thura-Yura,,,,
Nauo,140,1,0,-1,Thura-Yura,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Thura-Yura,,,,
Adnyamathanha,141,1,0,-1,Thura-Yura,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Thura-Yura,,,,
Nukunu,142,1,0,-1,Thura-Yura,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Thura-Yura,,,,
Narrungga,143,1,0,-1,Thura-Yura,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Thura-Yura,,,,
Kaurna,144,1,0,-1,Thura-Yura,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Thura-Yura,,,,
Wagaman,146,1,0,-1,Southern (#3),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southern (#3),,,,
Mbara,148,1,0,-1,Southern (#3),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southern (#3),,,,
Ngan'gityemerri,149,1,0,-1,Southern Daly,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southern Daly,,NonPNy,,
Murrinh-patha,150,1,0,-1,Southern Daly,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southern Daly,,NonPNy,,1
Kuthant,151,1,0,-1,Southwest (#2),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southwest (#2),,,,
Mirniny,152,1,0,-1,Southwest,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southwest,Spelling of the language name changed from Mirrniny per Doug Marmion (and back per Sue Hanson).,,,
Kurtjar,153,1,0,-1,Southwest (#2),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southwest (#2),,,,
Uw-Olgol,154,1,0,-1,Southwest (#2),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southwest (#2),,,,
Kuuk-Narr,155,1,0,-1,Southwest (#2),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southwest (#2),,,,
Koko Bera,158,1,0,-1,Southwest (#2),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southwest (#2),,,,
Yir Yoront,160,1,0,-1,Southwest (#2),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southwest (#2),,,,
Malyangapa,161,1,0,-1,Yardli,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yardli,,,,
Kuku Yalanji,162,1,0,-1,Yalanjic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yalanjic,,,,
Wadikali,163,1,0,-1,Yardli,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yardli,,,,
Yardliyawarra,164,1,0,-1,Yardli,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yardli,,,,
Yidiny,165,1,0,-1,Yidinyic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yidinyic,boundaries per Dixon grammar,,,
Djabugay,166,1,0,-1,Yidinyic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yidinyic,,,,
YortaYorta,167,1,0,-1,Yotayotic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yotayotic,,,,
YabulaYabula,168,1,0,-1,Yotayotic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yotayotic,,,,
Ngarigu,169,1,0,-1,Yuin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yuin,,,,
Thawa,170,1,0,-1,Yuin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yuin,,,,
Dharawal,171,1,0,-1,Yuin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yuin,,,,
Ngunawal,172,1,0,-1,Yuin,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yuin,,,,
