language_id,glottocode,glottolog_name,polygon_file,polygon_name,fuzzy_score,polygon_group
MayiYapi,mayk1239,Maykulan,AustralianPolygons.kml,Mayi-Yapi,94,
Mbabaram,mbab1239,Mbabaram,AustralianPolygons.kml,Mbabaram,100,
Mbakwithi,angu1242,Anguthimri,AustralianPolygons.kml,Mpakwithi,89,
Mbiywom,mbiy1238,Mbiywom,,,(71 for Mbeiwum),
Minjungbal,minj1242,Minjangbal,SnappedLangs.gpkg,Minjangbal,90,
Minkin,mink1237,Minkin,AustralianPolygons.kml,Minkin,100,
Mirniny,mirn1245,Mirniny,AustralianPolygons.kml,Mirniny,100,
Mithaka,mith1236,Mithaka,AustralianPolygons.kml,Mithaka,100,
Moneroo,sout2771,Southern Coastal Yuin,,,(59 for Southern Anaiwan),
MountFreelingDiyari,dier1241,Dieri,,,(73 for Diyari),
Mpalityan,mpal1237,Mpalityanh-Luthigh,AustralianPolygons.kml,Mpalityan,100,
Mudburra,mudb1240,Mudburra,AustralianPolygons.kml,Mudburra,100,
MudburraMcC,mudb1240,Mudburra,AustralianPolygons.kml,Mudburra,100,
MuliarraTribe,waja1257,Wajarri,AustralianPolygons.kml,Wajarri,100,
Muruwari,muru1266,Muruwari,AustralianPolygons.kml,Muruwari,100,
Narrungga,naru1238,Narungga,AustralianPolygons.kml,Narrungga,100,
NatalDowns,biri1256,Biri,AustralianPolygons.kml,Biri,100,
NedsCornerStation,uppe1415,Upper Riverland,,,(52 for Lower Aranda),
NerangCreek,yugu1249,Yugumbir,,,(67 for Unggumi),
NewNorciaandLeschenaultBay,nyun1247,Nyunga,AustralianPolygons.kml,Nyunga,100,
Ngaanyatjarra,ngaa1240,Ngaanyatjarra,AustralianPolygons.kml,Ngaanyatjarra,100,
Ngadjumaya,ngad1258,Ngadjunmaya,AustralianPolygons.kml,Ngajumaya,95,
Ngadjuri,ngad1257,Ngadjuri,AustralianPolygons.kml,Ngadjuri,100,
Ngaiawang,nort2756,Northern Sunraysia,AustralianPolygons.kml,Ngaiawang,100,
Ngamini,ngam1265,Ngamini-Yarluyandi-Karangura,AustralianPolygons.kml,Ngamini,100,
Ngardily,nort2753,North-western Warlpiri,AustralianPolygons.kml,Ngardi,86,
Ngarigu,sout2771,Southern Coastal Yuin,AustralianPolygons.kml,Ngarigu,100,
Ngarinyman,ngar1235,Ngarinman,AustralianPolygons.kml,Ngarinyman,100,
Ngarla,ngar1296,Ngarla,AustralianPolygons.kml,Ngarla,100,
Ngarluma,ngar1287,Ngarluma,AustralianPolygons.kml,Ngarluma,100,
Ngarrindjeri,narr1259,Narrinyeri,AustralianPolygons.kml,Ngarrindjeri,100,
Ngawun,ngaw1240,Ngawun,AustralianPolygons.kml,Ngawun,100,
NggoiMwoi,band1339,Bandjalangic,SnappedLangs.gpkg,Bandjalang,91,
Nggoth,ngko1236,Ngkoth,,,(62 for Angkamuthi),
Ngiyambaa,wang1291,Ngiyambaa,AustralianPolygons.kml,Ngiyambaa,100,
Nguburindi,ngub1238,Nguburindi,,,(78 for Gurindji),
Ngunawal,nort2760,Northern Inland Yuin,AustralianPolygons.kml,Ngunawal,100,
Nhanta,nhan1238,Nhanda,AustralianPolygons.kml,Nhanda,100,
Nhirrpi,nhir1234,Nhirrpi,AustralianPolygons.kml,Nhirrpi,100,
NorthernMangarla,mang1383,Mangala,AustralianPolygons.kml,Mangala,100,
NorthernNyangumarta,nyan1301,Nyangumarta,AustralianPolygons.kml,Nyangumarta,100,
Ntrangith,tyan1235,Tyanngayt-Mamngayt-Ntrwangayt-Ntrangit,,,(44 for Ngarlawangga),
Nukunu,nugu1241,Nugunu (Australia),AustralianPolygons.kml,Nukunu,100,
Nyamal,nyam1271,Nyamal,AustralianPolygons.kml,Nyamal,100,
Nyangumarta,nyan1301,Nyangumarta,AustralianPolygons.kml,Nyangumarta,100,
Nyawaygi,nyaw1247,Nyawaygi,AustralianPolygons.kml,Nyawaygi,100,
Nyungar,nyun1247,Nyunga,AustralianPolygons.kml,Nyunga,92,
Olkola,oyka1239,Oykangand,AustralianPolygons.kml,Olkola,100,
Paakantyi,darl1243,Paakantyi,AustralianPolygons.kml,Paakantyi,100,
Pakanh,paka1251,Pakanha,AustralianPolygons.kml,Pakanh,100,
Pallanganmiddang,pall1243,Pallanganmiddang,,,(64 for Walangama),
Panyjima,pany1241,Panytyima,AustralianPolygons.kml,Panyjima,100,
Parnkala,bang1339,Banggarla,AustralianPolygons.kml,Parnkala,100,
Payungu,bayu1240,Bayungu,AustralianPolygons.kml,Payungu,100,
Piangil,west2443,Western Victoria,,,(50 for Eastern Arrernte),
Pinjarra,nyun1247,Nyunga,AustralianPolygons.kml,Nyunga,100,
PintupiLuritja,pint1250,Pintupi-Luritja,AustralianPolygons.kml,Pintupi-Luritja,100,
Pirriya,pirr1240,Pirriya,AustralianPolygons.kml,Pirriya,100,
Pitjantjatjara,pitj1243,Pitjantjatjara,AustralianPolygons.kml,Pitjantjatjara,100,
PittaPitta,pitt1247,Pitta Pitta,AustralianPolygons.kml,Pitta-Pitta,95,
PortMacQuarie,sydn1236,Sydney,,,(67 for Yidiny),
Punthamara,punt1240,Punthamara,AustralianPolygons.kml,Punthamara,100,
Purduna,burd1238,Burduna,AustralianPolygons.kml,Purduna,100,
PytuReach,narr1259,Narrinyeri,,,(82 for Ngarrindjeri),
Rirratjingu,rirr1238,Rirratjingu,,,(67 for Ritharrngu),
Ritharrngu,rita1239,Ritharrngu,AustralianPolygons.kml,Ritharrngu,100,
RoxburghDowns_LowerGeorgina,pitt1247,Pitta Pitta,AustralianPolygons.kml,Pitta-Pitta,100,
SouthernWalmajarri,walm1241,Walmajarri-Juwaliny,,,(69 for Walmajarri),
SteeleGDG,wori1245,Worimi,AustralianPolygons.kml,Worimi,100,
THETATIARRACOUNTRY,west2443,Western Victoria,,,(50 for Eastern Arrernte),
Tagalag,taga1279,Tagalaka,,,(80 for Takalak),
Tambo,bidy1243,Bidyara,AustralianPolygons.kml,Bidjara,86,
Tenterfield,yuga1244,Yugambal,AustralianPolygons.kml,Yugambal,100,
Thalanyji,dhal1245,Dhalandji,AustralianPolygons.kml,Thalanyji,100,
Thanggatti,dyan1250,Dyangadi,AustralianPolygons.kml,Thanggatti,100,
Tharrgari,dhar1247,Dhargari,AustralianPolygons.kml,Tharrgari,100,
Thaynakwith,alng1239,Alngith,AustralianPolygons.kml,Alngith,100,
