name,fid,tessellate,extrude,visibility,layer,path,description
Ngomburr,123,1,0,-1,Umbugarlan,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Umbugarlan,
Bukurnidja,124,1,0,-1,Umbugarlan,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Umbugarlan,
Wuli Wuli,125,1,0,-1,Waka-Kabi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Waka-Kabi,
Gonbudj,126,1,0,-1,Umbugarlan,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Umbugarlan,
Bayali,127,1,0,-1,Waka-Kabi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Waka-Kabi,
Barunggam,128,1,0,-1,Waka-Kabi,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Waka-Kabi,
Pinjarup,129,1,0,-1,Southwestern,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southwestern,
Wiilman,130,1,0,-1,Southwestern,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southwestern,
Wardandi,131,1,0,-1,Southwestern,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southwestern,
Bibbulman,132,1,0,-1,Southwestern,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southwestern,
Lardil,133,1,0,-1,Tangkic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Tangkic,
Kaniyang,134,1,0,-1,Southwestern,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southwestern,
Kayardild,135,1,0,-1,Tangkic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Tangkic,
Yukulta,136,1,0,-1,Tangkic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Tangkic,
Ngadjuri,137,1,0,-1,Thura-Yura,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Thura-Yura,
Minkin,138,1,0,-1,Tangkic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Tangkic,
Parnkala,139,1,0,-1,Thura-Yura,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Thura-Yura,
Nauo,140,1,0,-1,Thura-Yura,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Thura-Yura,
Adnyamathanha,141,1,0,-1,Thura-Yura,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Thura-Yura,
Nukunu,142,1,0,-1,Thura-Yura,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Thura-Yura,
Narrungga,143,1,0,-1,Thura-Yura,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Thura-Yura,
Kaurna,144,1,0,-1,Thura-Yura,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Thura-Yura,
Wagaman,146,1,0,-1,Southern (#3),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southern (#3),
Mbara,148,1,0,-1,Southern (#3),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southern (#3),
Ngan'gityemerri,149,1,0,-1,Southern Daly,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southern Daly,
Murrinh-patha,150,1,0,-1,Southern Daly,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southern Daly,
Kuthant,151,1,0,-1,Southwest (#2),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southwest (#2),
Mirning,152,1,0,-1,Southwest,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southwest,Spelling of the language name changed from Mirrniny per Doug Marmion.
Kurtjar,153,1,0,-1,Southwest (#2),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southwest (#2),
Uw-Olgol,154,1,0,-1,Southwest (#2),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southwest (#2),
Koknar,155,1,0,-1,Southwest (#2),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southwest (#2),
Koko Bera,158,1,0,-1,Southwest (#2),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southwest (#2),
Yir Yoront,160,1,0,-1,Southwest (#2),/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Southwest (#2),
Malyangapa,161,1,0,-1,Yardli,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yardli,
Kuku Yalanji,162,1,0,-1,Yalanjic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yalanjic,
Wadikali,163,1,0,-1,Yardli,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yardli,
Yardliyawarra,164,1,0,-1,Yardli,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yardli,
Yidiny,165,1,0,-1,Yidinyic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yidinyic,
Djabugay,166,1,0,-1,Yidinyic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yidinyic,
YortaYorta,167,1,0,-1,Yotayotic,/Users/i2/Downloads/Polygon Coordinates for Australian languages 3.0 1.kml|layername=Yotayotic,
