lang,name,glottocode,weightedSpikes,weightedSpikes_median
PortugueseBrazilian,Portuguese: Brazilian,braz1246,3.287443259352151,2.802448553598448
DalmatianVegliote,Dalmatian: Vegliote,dalm1243,6.205245606772126,4.4694874592997715
Friulian,Friulian,friu1240,3.7937868981540297,2.9097889541616135
Ladin,Ladin,ladi1250,5.2508281666644425,3.769166011534242
Italian,Italian,ital1282,1.3253976896805304,1.0340327213639358
Milanese,Milanese,mila1243,5.189088053361994,3.9737028435689226
Neapolitan,Neapolitan,neap1235,4.384004151072384,3.343996979014869
SardinianLogudoro,Sardinian: Logudoro,logu1236,2.635558424016104,2.066356846502768
SardinianNuoro,Sardinian: Nuoro,nuor1238,4.950555617436625,3.5667093658085025
MeglenoRomanian,Megleno-Romanian,megl1237,5.37880453864711,3.909564854516854
Romanian,Romanian,roma1327,4.659595812482855,3.4848017874683217
Latin,Latin,lati1261,2.9244236996575013,2.2366484780476728
Oscan,Oscan,osca1245,5.559814513900593,4.255336637381179
Umbrian,Umbrian,umbr1253,4.373710970789802,3.292360642579228
BretonGwened,Breton: Gwened,vann1244,4.4334578944394085,3.3943353104525906
BretonTreger,Breton: Treger,treg1244,2.8631589642303963,2.2689921682064917
MiddleBreton,Middle Breton,midd1359,2.2584475407590436,1.8329851733671538
LateCornish,Late Cornish,corn1251,3.642646013961451,2.8371095016287606
MiddleCornish,Middle Cornish,midd1380,5.119659598000889,4.230743331516879
OldBreton,Old Breton,oldb1248,2.914555689073167,2.290511008231347
MiddleWelsh,Middle Welsh,midd1363,1.716599149248963,1.3714478574637101
WelshNorth,Welsh: North,nort2668,3.69130152307196,2.8808913861226726
OldWelsh,Old Welsh,oldw1241,3.8015200069173782,3.1167503973770785
Gaulish,Gaulish,tran1282,5.1602593886137,3.925239675646576
GaelicIrish,Gaelic: Irish,iris1253,3.2280455317315626,2.483096168023551
GaelicManx,Gaelic: Manx,manx1243,4.889674465946434,3.7947204684129128
GaelicScottish,Gaelic: Scottish,scot1245,4.304138372886982,3.2260480929896462
OldIrish,Old Irish,oldi1245,3.3007893791830214,2.5718374128090637
Danish,Danish,dani1285,3.698704293951745,2.9523918292867233
NorwegianBokmal,Norwegian: Bokmål,norw1259,0.9297864740345124,0.7163969637586901
